County,Date,Field ID,Sex,Size (cm),Waterway,City,Probable Cause
Brevard,2018-03-30 00:00:00,MEC18044,F,197,Crane Creek,Melbourne,Natural: Cold Stress
Brevard,2018-03-30 00:00:00,MEC18045,M,313,Crane Creek,Melbourne,Human Related: Watercraft Collision
Hillsborough,2018-03-30 00:00:00,MNW18045,M,298,Hillsborough Bay,Apollo Beach,Human Related: Watercraft Collision
Monroe,2018-03-30 00:00:00,MSE18044,F,140,Lake Surprise,Key Largo,Perinatal (<= 150 cm)
Martin,2018-03-30 00:00:00,MSTm1808,M,153,Willoughby Creek,Stuart,Natural: Cold Stress
Lee,2018-03-30 00:00:00,MSW18071,M,246,Back Bay,Bokeelia,Natural: Other
Citrus,2018-03-31 00:00:00,MNW18046,F,123,Crystal River,Crystal River,Perinatal (<= 150 cm)
St. Lucie,2018-03-31 00:00:00,MSE18045,M,315,Fish House Cove,Ft. Pierce,Undetermined: Too Decomposed
Lee,2018-03-31 00:00:00,MSW18072,U,245,Caloosahatchee River,Ft. Myers,Verified: Not Recovered
Wakulla,2018-04-01 00:00:00,MNW18047,F,271,St. Marks River,St. Marks,Undetermined: Other
Brevard,2018-04-02 00:00:00,MEC18046,M,80,Banana River,Merritt Island,Perinatal (<= 150 cm)
St. Johns,2018-04-02 00:00:00,MNE18021,F,265,Tolomato River,Ponte Vedra Beach,Natural: Other
Hillsborough,2018-04-02 00:00:00,MNW18048,U,150,Tampa Bay,Tampa,Verified: Not Recovered
Lee,2018-04-02 00:00:00,MSW18073,F,271,Roosevelt Channel,Captiva,Natural: Other
Duval,2018-04-04 00:00:00,MNE18022,F,147,St. Johns River,Jacksonville,Perinatal (<= 150 cm)
County,Date,Field ID,Sex,Size (cm),Waterway,City,Probable Cause
Monroe,2018-04-04 00:00:00,MSE18046,M,192,Florida Bay,Marathon,Undetermined: Too Decomposed
Lee,2018-04-04 00:00:00,MSW18074,F,292,Roosevelt Channel,Captiva,Natural: Other
Lee,2018-04-04 00:00:00,MSW18075,F,260,Pine Island Sound,Sanibel,Verified: Not Recovered
Lee,2018-04-04 00:00:00,MSW18076,F,277,Hurricane Bay,Ft. Myers Beach,Human Related: Watercraft Collision
Charlotte,2018-04-04 00:00:00,MSW18077,M,233,Gasparilla Sound,Placida,Undetermined: Too Decomposed
Lee,2018-04-04 00:00:00,MSW18078,M,312,Pine Island Sound,St. James City,Natural: Other
Indian River,2018-04-05 00:00:00,MEC18047,M,281,Indian River,Sebastian,Human Related: Watercraft Collision
Lee,2018-04-05 00:00:00,MSW18079,M,302,Charlotte Harbor,Boca Grande,Natural: Other
Lee,2018-04-06 00:00:00,MSW18080,M,254,Gasparilla Sound,Boca Grande,Natural: Other
Lee,2018-04-06 00:00:00,MSW18081,M,331,Roosevelt Channel,Captiva,Natural: Other
Lee,2018-04-06 00:00:00,MSW18082,F,266,Roosevelt Channel,Captiva,Natural: Other
Brevard,2018-04-07 00:00:00,MEC18048,M,205,Banana River,Cocoa Beach,Undetermined: Too Decomposed
Miami-Dade,2018-04-07 00:00:00,MSE18047,F,330,Biscayne Bay,North Bay Village,Human Related: Watercraft Collision
Lee,2018-04-07 00:00:00,MSW18083,F,264,Roosevelt Channel,Captiva,Natural: Other
